domain	agueusie coronavirus	agueusie covid	anosmie coronavirus	anosmie covid	chiasse coronavirus	chiasse covid	courbature coronavirus	courbature covid	diarrhée covid	douleur thoracique covid	douleur thorax coronavirus	douleur thorax covid	dyspnée coronavirus	dyspnée covid	essouflement covid	fièvre coronavirus	fièvre covid	gene respiratoire coronavirus	gene respiratoire covid	gêne respiratoire coronavirus	mal de gorge coronavirus	mal de gorge covid	mal thoracique coronavirus	mal thoracique covid	mal à respirer coronavirus	mal à respirer covid	maux de gorge coronavirus	maux de gorge covid	nez qui coule coronavirus	nez qui coule covid	oppression thoracique covid	perte de gout coronavirus	perte de gout covid	perte de goût coronavirus	perte de goût covid	perte odorat coronavirus	rhinorrhée coronavirus	rhinorrhée covid	thermomètre coronavirus	thermomètre covid	tousse coronavirus	tousse covid	tousser coronavirus	tousser covid	toux coronavirus	toux covid	écoulement nasale coronavirus	écoulement nasale covid	éruption cutanée coronavirus	éruption cutanée covid	total	missing
www.canalvie.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	3	30	30	28.58	47
www.cdiscount.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	29.78	49
www.ch.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	11	19	30	30	30	30	30	30	30	30	30	16	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.84	46
www.chinacdc.cn	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.8	49
www.chirosphere.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	13	30	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.06	47
www.chuv.ch	30	30	30	30	30	30	30	30	30	10	30	30	11	7	10	30	18	4	4	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	26.32	41
www.cnews.fr	30	30	30	30	30	30	30	30	30	16	15	16	30	30	30	30	30	30	30	30	30	30	14	14	30	30	30	30	30	30	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.04	44
www.concordia.ch	30	30	30	30	30	30	30	13	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	1	1	28.18	46
www.cpma.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	20	16	30	30	30	30	30	29.32	47
www.creapharma.ch	30	30	30	30	11	4	13	20	2	30	13	18	30	30	30	30	30	30	30	30	5	3	15	19	30	30	5	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	15	30	30	30	30	24.36	35
www.doctissimo.fr	30	30	30	30	30	30	4	4	7	20	19	20	30	30	30	20	30	30	17	30	8	6	11	15	5	5	8	7	8	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	9	22.38	30
www.ehnv.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	6	3	28.98	48
www.equinella.ch	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.8	49
www.europe1.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	29.8	49
www.femmeactuelle.fr	14	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	12	13	13	13	19	30	30	30	30	30	30	30	30	30	30	30	30	12	12	26.78	40
www.fmh.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	49
www.formamed-shop.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	29.76	49
www.france-assos-sante.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.78	49
www.francebleu.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.74	49
www.franceculture.fr	30	30	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30	19	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	47
www.franceinter.fr	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	19	17	12	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.76	45
www.francetvinfo.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	10	30	30	30	30	30	30	30	30	30	30	29.4	48
www.futura-sciences.com	9	16	4	9	20	30	18	30	30	6	8	7	19	30	30	30	30	30	30	30	30	30	13	7	30	30	30	30	30	30	4	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	30	30	30	17	24.4	35
www.galaxus.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	5	30	30	30	30	30	30	30	30	30	30	29.5	49
www.gauchebdo.ch	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	16	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.12	47
www.ge.ch	30	30	14	12	30	14	30	18	15	30	30	30	30	30	30	14	11	18	16	18	30	30	30	30	30	30	30	19	30	30	18	30	30	30	30	30	30	30	30	30	7	7	6	7	11	10	30	16	30	30	23.62	31
www.ghi.ch	30	30	30	30	30	30	8	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.18	48
www.gouvernement.fr	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	18	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.06	47
www.h-ju.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	9	30	30	30	16	10	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.06	45
www.health.gov.on.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	5	30	30	29.04	48
www.heidi.news	3	4	8	8	8	9	6	9	12	9	20	30	14	19	5	5	4	12	13	12	30	17	19	30	9	10	30	20	30	30	30	7	6	6	6	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18.36	21
www.hesge.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	29.72	49
www.hopitalduvalais.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	2	2	30	30	30	3	2	30	30	30	30	3	2	4	4	30	30	30	30	30	30	30	30	30	30	1	1	1	1	2	1	30	2	30	30	21.1	34
www.hopitalvs.ch	30	30	30	30	30	30	30	30	30	7	5	8	30	30	30	30	30	5	10	7	30	30	7	12	3	4	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	25.36	40
www.hpci.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	29.3	48
www.hsnsudbury.ca	30	30	30	30	30	30	30	30	30	15	30	14	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.74	46
www.huffingtonpost.fr	30	30	30	30	19	30	30	30	30	14	10	13	30	30	30	30	30	30	30	19	30	30	12	9	30	30	30	30	11	18	30	30	20	30	19	30	20	20	30	30	30	30	30	30	30	30	30	30	30	30	26.28	37
www.hug-ge.ch	30	30	30	30	6	11	30	30	30	30	30	30	2	1	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	10	30	30	30	30	30	30	30	30	30	30	30	30	27.2	44
www.hug.ch	16	30	16	30	10	30	30	30	30	17	17	17	20	30	30	10	13	30	30	30	21	15	17	30	30	30	17	18	14	30	30	30	30	30	30	30	5	8	30	30	15	14	12	14	15	30	10	13	30	30	22.48	26
www.illustre.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	29.32	48
www.imad-ge.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.56	49
www.inesss.qc.ca	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	17	15	28.64	45
www.infirmiers.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.72	49
www.lacote.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	17	30	30	30	19	30	30	30	30	30	28.94	46
www.ladepeche.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.54	48
www.laliberte.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	6	5	5	4	4	5	30	30	30	30	26.98	44
www.laprovence.com	30	30	30	30	14	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	48
www.lavoixdunord.fr	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	12	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.94	47
www.ledauphine.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	29.78	49
www.lejdd.fr	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	29.54	48
www.lemanbleu.ch	30	30	30	30	30	5	30	30	4	30	30	30	30	30	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.52	47
www.lematin.ch	11	10	5	4	30	30	20	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	4	3	5	3	4	14	30	6	14	12	16	20	30	30	30	30	30	30	30	22.74	32
www.lemessager.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.78	49
www.lemonde.fr	30	30	15	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	17	30	30	30	30	30	30	12	30	19	30	18	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.64	42
www.lenouvelliste.ch	4	9	6	14	30	30	5	6	30	4	4	4	30	30	30	7	14	30	30	30	24	14	5	4	30	30	30	30	9	12	3	6	7	7	9	6	9	13	1	3	30	30	18	17	14	13	30	30	30	30	16.82	19
www.leparisien.fr	30	30	30	30	9	6	30	30	10	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	30	28.06	45
www.lequotidiendumedecin.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	29.72	49
www.lesechos.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5	48
www.lesoleil.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.8	49
www.letemps.ch	2	3	2	3	4	7	30	30	11	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	16	30	30	30	17	30	30	3	2	3	2	2	12	9	12	30	30	13	15	11	18	14	30	30	30	30	20.2	27
www.levif.be	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	10	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	28.86	47
www.lfm.ch	30	30	12	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2	4	1	4	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.04	44
www.liberation.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	12	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	29	47
www.liguepulmonaire.ch	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.36	48
www.ligues-rhumatisme.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	29.78	49
www.linternaute.com	30	30	30	30	30	30	16	12	30	30	30	30	30	30	14	30	30	30	30	30	30	10	30	30	30	30	30	14	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	27.84	43
www.louvainmedical.be	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	6	29.08	48
www.marieclaire.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	9	30	30	30	30	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.9	47
www.mediamarkt.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	29.66	49
